"id","year","marstat","emergency_savings","married"
915,2012,1,0,1
916,2012,1,1,1
917,2012,0,0,0
918,2012,3,0,0
919,2012,1,0,1
920,2012,0,1,0
921,2012,1,0,1
922,2012,2,0,0
923,2012,1,0,1
924,2012,1,1,1
925,2012,1,0,1
926,2012,1,0,1
928,2012,3,0,0
929,2012,1,1,1
930,2012,3,0,0
931,2012,3,0,0
932,2012,1,0,1
934,2012,3,1,0
935,2012,1,1,1
936,2012,1,0,1
937,2012,1,0,1
938,2012,1,0,1
939,2012,3,0,0
941,2012,1,0,1
942,2012,1,1,1
944,2012,0,1,0
945,2012,0,0,0
947,2012,1,1,1
949,2012,1,1,1
950,2012,1,0,1
951,2012,1,0,1
952,2012,3,0,0
953,2012,3,1,0
954,2012,1,1,1
955,2012,0,0,0
956,2012,1,0,1
958,2012,1,0,1
959,2012,1,0,1
960,2012,1,1,1
961,2012,3,0,0
962,2012,1,0,1
963,2012,1,0,1
964,2012,3,0,0
967,2012,1,1,1
968,2012,1,0,1
969,2012,1,0,1
970,2012,1,0,1
971,2012,2,0,0
972,2012,0,0,0
973,2012,0,0,0
974,2012,1,1,1
976,2012,0,1,0
977,2012,1,1,1
978,2012,1,1,1
979,2012,3,1,0
980,2012,1,1,1
981,2012,1,0,1
982,2012,6,1,0
984,2012,1,0,1
985,2012,3,0,0
988,2012,1,1,1
990,2012,1,0,1
992,2012,1,0,1
994,2012,3,0,0
995,2012,1,1,1
997,2012,3,0,0
999,2012,1,0,1
1000,2012,2,0,0
1001,2012,0,0,0
1002,2012,0,0,0
1003,2012,1,1,1
1004,2012,0,0,0
1005,2012,1,0,1
1007,2012,1,1,1
1009,2012,1,1,1
1011,2012,1,0,1
1012,2012,1,0,1
1013,2012,3,0,0
1014,2012,1,1,1
1015,2012,3,0,0
1017,2012,3,1,0
1019,2012,1,0,1
1020,2012,3,0,0
1022,2012,3,0,0
1023,2012,3,0,0
1024,2012,1,1,1
1028,2012,3,0,0
1029,2012,1,0,1
1030,2012,0,0,0
1031,2012,0,0,0
1033,2012,0,0,0
1034,2012,0,0,0
1035,2012,3,0,0
1037,2012,3,0,0
1038,2012,1,0,1
1039,2012,3,0,0
1042,2012,0,0,0
1043,2012,3,0,0
1044,2012,3,0,0
1045,2012,1,0,1
1046,2012,0,0,0
1047,2012,1,0,1
1048,2012,1,1,1
1049,2012,1,1,1
1050,2012,1,1,1
1051,2012,3,1,0
1053,2012,3,1,0
1054,2012,1,1,1
1055,2012,1,1,1
1056,2012,3,0,0
1057,2012,1,0,1
1058,2012,0,0,0
1059,2012,1,1,1
1060,2012,3,0,0
1061,2012,3,0,0
1063,2012,1,1,1
1065,2012,1,1,1
1067,2012,0,0,0
1068,2012,0,0,0
1070,2012,1,1,1
1071,2012,1,0,1
1072,2012,1,1,1
1073,2012,0,0,0
1074,2012,6,0,0
1076,2012,3,0,0
1077,2012,1,0,1
1078,2012,0,1,0
1079,2012,0,0,0
1080,2012,1,1,1
1081,2012,0,0,0
1082,2012,1,0,1
1085,2012,3,0,0
1087,2012,1,1,1
1088,2012,1,1,1
1089,2012,3,0,0
1090,2012,3,0,0
1092,2012,0,0,0
1096,2012,3,0,0
1097,2012,1,0,1
1098,2012,1,1,1
1101,2012,6,1,0
1102,2012,1,1,1
1104,2012,3,0,0
1105,2012,1,1,1
1106,2012,0,1,0
1107,2012,1,1,1
1109,2012,0,0,0
1110,2012,1,1,1
1111,2012,1,0,1
1112,2012,1,0,1
1113,2012,1,0,1
